config,software,version
a/AlphaFold/AlphaFold-2.3.4-foss-2022a-ColabFold.eb,AlphaFold,2.3.4
a/AlphaFold/AlphaFold-2.3.0-foss-2021b-CUDA-11.4.1.eb,AlphaFold,2.3.0
b/BamTools/BamTools-2.5.1-GCC-9.3.0.eb,Bam Tools,2.5.1
b/beagle-lib/beagle-lib-3.1.2-GCC-10.3.0.eb,beagle-lib,3.1.2
b/beast/Beast-2.6.3-gcccuda-2019b.eb,Beast,2.6.3
b/BEDTools/BEDTools-2.28.0-GCC-8.2.0-2.31.1.eb,BEDTools,2.28.0
b/BEDTools/BEDTools-2.27.1-GCCcore-6.4.0.eb,BEDTools,2.27.1
b/Bowtie2/Bowtie2-2.3.3.1-intel-2017b.eb,Bowtie2,2.3.3.1
a/AlphaFold/AlphaFold-2.3.4-foss-2022a-ColabFold.eb,AlphaFold,2.3.4
a/AlphaFold/AlphaFold-2.3.0-foss-2021b-CUDA-11.4.1.eb,AlphaFold,2.3.0
b/BamTools/BamTools-2.5.1-GCC-9.3.0.eb,Bam Tools,2.5.1
b/beagle-lib/beagle-lib-3.1.2-GCC-10.3.0.eb,beagle-lib,3.1.2
b/beast/Beast-2.6.3-gcccuda-2019b.eb,Beast,2.6.3
b/BEDTools/BEDTools-2.28.0-GCC-8.2.0-2.31.1.eb,BEDTools,2.28.0
b/BEDTools/BEDTools-2.27.1-GCCcore-6.4.0.eb,BEDTools,2.27.1
b/Bowtie2/Bowtie2-2.3.3.1-intel-2017b.eb,Bowtie2,2.3.3.1
b/Bowtie2/Bowtie2-2.2.9-intel-2016b.eb,Bowtie2,2.2.9
b/Bowtie2/Bowtie2-2.2.8-foss-2016a.eb,Bowtie2,2.2.8
c/CellRanger/CellRanger-7.1.0.eb,CellRanger,7.1.0
f/fastQC/FastQC-0.12.1-Java-11.eb,fastQC,0.12.1
f/fastQC/FastQC-0.11.9-Java-11.eb,fastQC,0.11.9
f/fastQC/FastQC-0.11.8-Java-11.eb,fastQC,0.11.8
f/fastQC/FastQC-0.11.7-Java-1.8.0_162.eb,fastQC,0.11.7
f/fastQC/FastQC-0.11.5-Java-1.8.0_74.eb,fastQC,0.11.5
f/freebayes/freebayes-1.3.7-gfbf-2023a-R-4.3.2.eb,freebayes,1.3.7
f/freebayes/freebayes-1.3.6-foss-2021b-R-4.1.2.eb,freebayes,1.3.6
g/GCC/GCC-13.3.0.eb,GCC,13.3.0
g/GCC/GCC-6.3.0-2.28.eb,GCC,6.3.0
g/GCC/GCC-5.5.0-2.26.eb,GCC,5.5.0
g/GCC/GCC-5.4.0-2.26.eb,GCC,5.4.0
i/iVar/iVar-1.3.1-GCC-10.2.0.eb,iVar,1.3.1
i/iVar/iVar-1.0.1-foss-2018b.eb,iVar,1.0.1
m/MAFFT/MAFFT-7.471-iimpi-2020a-with-extensions.eb,MAFFT,7.471
m/miniconda3/Miniconda3-23.9.0-0.eb,miniconda3,23.9.0
m/Miniconda3/Miniconda3-23.5.2-0.eb,miniconda3,23.5.2
m/Miniconda3/Miniconda3-22.11.1-1.eb,miniconda3,22.11.1
m/MultiQC/MultiQC-1.12-foss-2021b.eb,MultiQC,1.12
m/MultiQC/MultiQC-1.11-foss-2021a.eb,MultiQC,1.11
n/Nextflow/Nextflow-24.04.2.eb,NextFlow,24.04.2
n/Nextflow/Nextflow-23.10.0.eb,NextFlow,23.10.0
n/Nextflow/Nextflow-23.04.2.eb,NextFlow,23.04.2
n/Nextflow/Nextflow-22.10.6.eb,NextFlow,22.10.6
n/Nextflow/Nextflow-22.10.5.eb,NextFlow,22.10.5
n/Nextflow/Nextflow-22.04.0.eb,NextFlow,22.04.0
n/nf-core/nf-core-2.13.1-foss-2023b.eb,nf-core,2.13.1
n/nf-core/nf-core-2.10-foss-2022b.eb,nf-core,2.1
p/prokka/prokka-1.14.5-gompi-2022b.eb,prokka,1.14.5
p/prokka/prokka-1.13.7-gompi-2019a.eb,prokka,1.13.7
p/prokka/prokka-1.13.4-foss-2018b.eb,prokka,1.13.4
r/R/R-4.2.2-foss-2022b.eb,R,4.2.2
r/R/R-4.3.3-gfbf-2023b.eb,R,4.3.3
r/R/R-4.3.2-gfbf-2023a.eb,R,4.3.2
r/R/R-4.2.1-foss-2022a.eb,R,4.2.1
r/R/R-4.2.0-foss-2021b.eb,R,4.2.0
s/SAMtools/SAMtools-1.10-GCC-9.3.0.eb,SAMtools,1.10.0
s/SAMtools/SAMtools-1.7-intel-2018a.eb,SAMtools,1.7
s/SPAdes/SPAdes-3.15.3-GCC-11.2.0.eb,SPAdes,3.15.3
s/SPAdes/SPAdes-3.15.2-GCC-10.2.0.eb,SPAdes,3.15.2
s/SPAdes/SPAdes-3.14.0-GCC-8.3.0-Python-3.7.4.eb,SPAdes,3.14.0
s/SPAdes/SPAdes-3.13.0-GCC-10.3.0.eb,SPAdes,3.13.0
s/SRA-Toolkit/SRA-Toolkit-3.0.10-gompi-2023a.eb,SRA-Toolkit2.16.0,3.0.10
